11.67, 200444, Marketplace Symeon 6, 73d
12.50, 39918, Marketplace Talemai 1, 73d
11.94, 201981, Marketplace Talemai 1, 73d
12.24, 200035, Marketplace Talemai 1, 73d
12.50, 39918, Marketplace Talemai 1, 73d
12.33, 200003, Marketplace Talemai 1, 73d
12, 63087, Marketplace Talemai 2, 5d
12.50, 158595, Marketplace Talemai 3, 73d
11.67, 200444, Marketplace Talemai 3, 73d
11.94, 201981, Marketplace Talemai 3, 73d
12.24, 200035, Marketplace Talemai 3, 73d
12.33, 200003, Marketplace Talemai 3, 73d
12.51, 32133, Marketplace Talemai 4, 6d
12.50, 30420, Marketplace Talemai 4, 73d
12.24, 200035, Marketplace Talemai 4, 73d
12.33, 200003, Marketplace Talemai 4, 73d
11.67, 200444, Marketplace Talemai 4, 73d
11.94, 201981, Marketplace Talemai 4, 73d
12.33, 30632, Marketplace Talemai 5, 73d
12.24, 200035, Marketplace Talemai 5, 73d
11.94, 201981, Marketplace Talemai 5, 73d
11.67, 200444, Marketplace Talemai 5, 73d
12.34, 64729, Marketplace Talemai 5, 112 min
11.67, 200444, Marketplace Talemai 6, 73d
11.94, 192101, Marketplace Talemai 6, 73d
