77.95, 200646, Marketplace Alioth 20, 73d
75, 201307, Marketplace Alioth 20, 73d
77.95, 200646, Marketplace Feli 1, 73d
77.34, 200960, Marketplace Feli 1, 73d
75, 201357, Marketplace Feli 1, 73d
78.17, 200052, Marketplace Feli 1, 73d
76.48, 201412, Marketplace Feli 1, 73d
78.17, 200052, Marketplace Feli 2, 73d
76.48, 201412, Marketplace Feli 2, 73d
75, 201357, Marketplace Feli 2, 73d
77.34, 200960, Marketplace Feli 2, 73d
77.95, 200646, Marketplace Feli 2, 73d
76.48, 201412, Marketplace Feli 3, 73d
78.17, 200052, Marketplace Feli 3, 73d
77.95, 200646, Marketplace Feli 3, 73d
77.34, 200960, Marketplace Feli 3, 73d
75, 201357, Marketplace Feli 3, 73d
78.17, 200052, Marketplace Feli 4, 73d
75, 201357, Marketplace Feli 4, 73d
77.34, 200960, Marketplace Feli 4, 73d
76.48, 201412, Marketplace Feli 4, 73d
77.95, 200646, Marketplace Feli 4, 73d
77.34, 200960, Marketplace Feli 5, 73d
75, 201357, Marketplace Feli 5, 73d
76.48, 201412, Marketplace Feli 5, 73d
77.95, 200646, Marketplace Feli 5, 73d
78.17, 200052, Marketplace Feli 5, 73d
70, 2525, Marketplace Feli 6, 83d
75, 200857, Marketplace Feli 6, 73d
76.48, 201412, Marketplace Feli 6, 73d
78.17, 200052, Marketplace Feli 6, 73d
77.95, 200646, Marketplace Feli 6, 73d
77.34, 200960, Marketplace Feli 6, 73d
75, 201357, Marketplace lon 1, 73d
76.48, 201412, Marketplace lon 1, 73d
77.95, 200646, Marketplace lon 1, 73d
77.34, 200960, Marketplace lon 1, 73d
78.17, 200052, Marketplace lon 1, 73d
78.17, 200052, Marketplace lon 2, 73d
77.95, 200646, Marketplace lon 2, 73d
77.34, 200960, Marketplace lon 2, 73d
75, 201357, Marketplace lon 2, 73d
76.48, 201412, Marketplace lon 2, 73d
75, 200967, Marketplace lon 3, 73d
76.48, 201412, Marketplace lon 3, 73d
77.34, 200960, Marketplace lon 3, 73d
77.95, 200646, Marketplace lon 3, 73d
78.17, 200052, Marketplace lon 3, 73d
77.95, 200646, Marketplace lon 4, 73d
77.34, 200960, Marketplace lon 4, 73d
